,Unnamed: 0,Name,Country,Brand,Categories,Tasting Notes,ABV,Base Ingredient,Years Aged,Rating,Rate Count,Price,Volume,Description
16,200,Jack Daniel’s White Rabbit Saloon,United States,Jack Daniels,"American Whiskey, Whiskey",,43%,,,5.0,2,$32.09,,
17,201,Jack Daniel’s Single Barrel Heritage Barrel,United States,Jack Daniels,"American Whiskey, Whiskey",,50%,,,5.0,2,$75.51,,"This release celebrates the early craftsmanship of the Jack Daniel Distillery. The whiskey is from uniquely crafted heavy-toast barrels and 100 proof barrel entry proof. 

The ""Heritage Barrel"" expression of Jack Daniel's Single Barrel was crafted with a low temperature, heavy toasted barrel which created a light but rich char full of deep flavor. A lower 100 proof entry proof allows our grain bill to assert itself creating a special Tennessee whiskey with notes of light baking spices, vanilla, and toasted oak with a long, lingering finish, aged to perfection at the top of one of the highest elevated barrelhouses, 1-09, on Coy Hill. What emerges is a flavorful and rich Tennessee Whiskey."
18,202,Jack Daniel’s 150th Anniversary Whiskey,United States,Jack Daniels,"American Whiskey, Whiskey",,43%,,,5.0,2,$99.99,,"To celebrate our 150th Anniversary, this special Jack Daniel's Tennessee Whiskey brings together the best of our distillers' and our coopers' art. All of the touches and attention to detail throughout the barreling and maturing process make for a Jack Daniel's Tennessee Whiskey worthy of a milestone celebration."
19,203,Jack Daniel’s Unaged Tennessee Rye Whiskey,United States,Jack Daniels,"Rye Whiskey, Tennessee Whiskey, Whiskey",,40%,,,5.0,2,$51.99,,"Jack Daniel’s Unaged Tennessee Rye  ack Daniel’s Unaged Tennessee Rye is Jeff Arnett’s exploration into the intriguing flavor drawn from premium rye. It's the first time since before Prohibition the Jack Daniel Distillery has used a new grain recipe. Rye has always been part of the Jack Daniel’s Old No. 7 grain bill but it has never been the lead grain until now. When our tasters sampled it after distillation, they said this should not wait to be released. Jack Daniel’s Unaged TN Rye is offered only in a small batch and in limited supply so the majority of the new rye whiskey can mature in Jack Daniel’s barrelhouses for future release.     

Although this unaged rye is not a mature whiskey, it offers a spicy, surprisingly sweet flavor. Whiskey enthusiasts  and those who aspire to be “master tasters” are sure to appreciate its raw nature. It’s a chance to taste the unaged spirit as our master tasters do, appreciating what the grain adds to the whiskey before the spirit draws its flavor from the barrel."
20,204,Jack Daniel’s Single Barrel Tennessee Whiskey Eric Church Edition,United States,Jack Daniels,"Bourbon, Whiskey",,47%,,,5.0,2,$59.99,,"In Lynchburg, we discover a new Tennessee whiskey every day. That’s because every day we sample our barrels and find one that is unique enough for our Single Barrel collection. One may be sweeter. One might have more oak. But each is hand-selected for its own, singular take on our Tennessee Whiskey. Jack Daniel’s Single Barrel Select is selected from the highest reaches of the barrel house and bottled in the smallest of batches, just one barrel at a time, at 94 proof with robust, individualized character."
21,205,Jack Daniels Legacy Edition Series Second Edition,United States,Jack Daniels,"American Whiskey, Whiskey",,43%,,,5.0,1,$28.24,,"Just like the name ‘Old No. 7,’ the history of our label is a bit of a mystery. Some say we chose the color to mourn Mr. Jack’s death; others don't think we chose it for any reason at all. We may never know for sure, but we are certain this label was one of the very first times it featured a predominantly black color scheme. 

Our second bottling in the Jack Daniel's Legacy Edition Series is a return to one of the first instances of Jack's iconic black label. It's a symbol of our enduring spirit, an ode to Mr. Jack's color of choice and, well, just a good bottle of whiskey. So enjoy a sip or two of Jack Daniel's history."
22,206,Jack Daniel’s Old No. 7 W/ Shot Glasses,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,5.0,1,$24.99,,The perfect gift! Jack Daniel's Old No. 7 with two shot glasses for sipping.
23,207,Jack Daniel’s Legacy Edition Series First Edition,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,5.0,1,$27.99,,"Some time before 1904 our bottles were a rather unexpected shade of green with an eye-catching gold trim. And as unusual as that may seem, it’s just one of the many labels in Old No. 7’s past. You have to be patient to make whiskey, and it seems that Jack took his time landing on the tried-and-true black label we know today. This is the first in our series of Legacy Edition Bottles. Each label we release will celebrate the unique, slightly mysterious history of Old No. 7."
24,208,Jack Daniel’s Master Distiller Series,United States,Jack Daniels,"American Whiskey, Whiskey",,43%,,,5.0,1,$31.99,,"We’ve had only seven men oversee the making of our whiskey. This series is dedicated to those men.

Available bottles in this series will vary and image may not reflect current offering, reach out to support@drizly.com if you are looking for a specific bottle of the series."
25,209,Jack Daniel’s Sinatra Century,United States,Jack Daniels,"American Whiskey, Whiskey",,50%,,,5.0,1,$449.99,,
26,210,Gentleman Jack Double Mellowed,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,5.0,1,$33.99,,"Crafted by combining traditional methods with a unique process that’s all its own. Twice mellowed for exceptional smoothness, Gentleman Jack has a crisp, balanced flavor."
27,211,Jack Daniel’s Black NBA Gift Set,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,5.0,1,$23.99,,"Did you know Jack Daniel's is now the Official NBA Partner?  We know it's not March Madness but while rooting for your favorite teams cheers your friends and rivals with this Jack Daniel's NBA Limited Edition Gift Set. The NBA and Jack Daniel's team up to launch this Whiskey NBA Limited Edition Gift Set. This Jack Daniel's Gift Set features two NBA glasses in a printed box featuring all 30 teams in the NBA. Trust us when we say you need this for every game!  The partnership, which also spans to the WNBA, D-League and USA Basketball, is the largest partnership with a professional sports league in Jack Daniel's 150-year history.  Cozy up on your couch, pour a glass of Jack and root for your team in style with this Jack Daniel's NBA Limited Edition Gift Set"
28,212,Jack Daniel’s Old No. 7 W/ Cubs Glasses,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,5.0,1,$24.99,,Jack Daniel's Old No. 7 W/ Cubs Glasses
29,213,Jack Daniels Single Barrel Gift Basket,United States,Jack Daniels,"American Whiskey, Whiskey",,45%,,,5.0,1,$82.49,,This basket contains a bottle of Jack Daniel's Single Barrel Whiskey and assorted gourmet food items.
30,214,Jack Daniel’s American Forests,United States,Jack Daniels,"American Whiskey, Whiskey",,45%,,,5.0,1,$39.99,,Jack Daniel's American Forests
31,215,Jack Daniel’s Single Barrel Holiday Select,United States,Jack Daniels,"American Whiskey, Whiskey",,48%,,,5.0,1,$59.99,,"This Jack Daniel's limited edition is from barrels used to craft our Holiday Barrel Tree. For 2013, our Master Distiller, Jeff Arnett, has selected whiskey with the rich character of toasted oak and spice notes drawn from our handcrafted barrels. It brings a special quality to your holiday season."
32,216,Jack Daniel’s No. 7 Tampa Bay Lightning Edition,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,5.0,1,$23.99,,Jack Daniel's No. 7 Tampa Bay Lightning Edition
33,217,Jack Daniel’s Old No. 7 Gift Set w/ Flask,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,5.0,1,$35.99,,"This gift set includes a barrel-shaped hip flask, two stainless steel barrel shot glasses, and a flask funnel. The flask has a satin finish. The main subject of the flask is the Jack Daniel's Swing logo and Old No. 7 with Cartouche logo appearing in the center. Twist-off stainless steel captive top is permanently attached to the flask for loss prevention. The shot glasses are decorated with the Jack Daniel's Swing logo. The flask funnel is engraved with Jack Daniel's, and a stylish black gift box completes the item. Official Licensed Product."
34,218,Jack Daniels Black Whiskey W/2 Gls Grill Out,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,5.0,1,$24.99,,
35,219,Jack Daniel’s Gentleman Jack Tennessee Whiskey W/Jigger,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,5.0,1,$33.59,,Jack Daniel's Gentleman Jack Tennessee Whiskey W/Jigger
36,220,Jack Daniel’s Gentleman Jack Tennessee Whiskey W/Money Clip,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,5.0,1,$49.99,,Jack Daniel's Gentleman Jack Tennessee Whiskey W/Money Clip
37,221,Jack Daniel’s Angelo Lucchesi 90th Birthday,United States,Jack Daniels,"American Whiskey, Whiskey",,45%,,,5.0,1,$124.99,,"On October 1, 1953 Angelo Lucchesi started talking about Jack Daniel’s. Fortunately for us, he never stopped until his passing in 2013, at the age of 92. Angelo was much more than Jack Daniel’s first salesman, he was a friend. He made telling the story of Jack Daniel’s whiskey his passion and pleasure. Decades later most everyone in the world knows Jack Daniel’s. In honor of Angelo’s dedication and ambassadorship, the Jack Daniel Distillery was proud to commemorate Angelo Lucchesi’s 90th birthday in 2010, with a special bottling of Jack Daniel’s Old No. 7. We thank him for his friendship and the many friends he’s made for Jack. A portion of the proceeds from this limited edition bottle went directly to one of Angelo’s favorite charities."
38,222,Jack Daniel’s Tennessee Fire Gift Set,United States,Jack Daniels,"Flavored Whiskey, Whiskey",,35%,,,5.0,1,$24.19,,750ml Bottle of Jack Daniel's Tennessee Fire with a shot glass
39,223,Jack Daniel’s Tennessee Honey Gift Pack,United States,Jack Daniels,"Flavored Whiskey, Whiskey",,35%,,,5.0,1,$24.99,,Jack Daniel's Tennessee Honey Gift Pack
40,224,Jack Daniel’s Tennessee Honey W/2 Glasses,United States,Jack Daniels,"Flavored Whiskey, Whiskey",,35%,,,5.0,1,$19.99,,Jack Daniel's Tennessee Honey W/2 Glasses
41,225,Jack Daniel’s Single Barrel Rye,United States,Jack Daniels,"Rye Whiskey, Whiskey",,45%,,,5.0,1,$54.99,,"Jack Daniel’s Single Barrel Rye is bold and balanced, carefully mellowed to be sippin' smooth, yet spicy and complex. Each barrel is hand selected from the highest reaches of the barrel house and bottled in the smallest of batches, just one barrel at a time, at 94 proof with robust character and notes of caramel and baking spice."
42,226,Jack Daniel’s Rested Tennessee Rye Whiskey,United States,Jack Daniels,"Rye Whiskey, Whiskey",,40%,,,5.0,1,$54.99,,"Our Tennessee Rye has been “resting” quietly in our barrelhouses these past few years and we invite you to watch it mature along with us with this limited release. The spice character from the rye grain remains from the original Unaged Rye, but the barrels have begun to assert their toasted oak and vanilla notes into the rye whiskey.  Charcoal mellowed, matured in a new white oak barrel and offered only in this small batch. We think you will appreciate how our Tennessee Rye is maturing."
43,227,Jack Daniels Barrel Proof Single Barrel Rye Whiskey,United States,Jack Daniels,"Rye Whiskey, Whiskey",,,,,5.0,1,$99.99,,
44,228,Jack Daniel’s Tennessee Tasters’ Selection Hickory Smoked,United States,Jack Daniels,"Tennessee Whiskey, Whiskey",,50%,,,5.0,1,$32.99,,"The Tennessee Tasters’ Selection is a line of limited-release, experimental whiskeys, carefully chosen by Jack Daniel’s Master Tasters to deliver unique and diverse experiences. The first one available is Hickory Smoked, a fully matured whiskey finished with charred hickory staves for a smoky flavor at 100-proof."
45,229,Jack Daniel’s Gentleman Jack Limited Edition,United States,Jack Daniels,"Bourbon, Whiskey",,,,,5.0,1,$47.99,,"This special edition Gentleman Jack is inspired by his one-of-a-kind, handcrafted Swiss pocket-watch made in 1903. The metallic engraved label reflects the intricate detail of Jack's own timepiece still on display today at the Patek-Phillipe museum in Geneva, Switzerland which acquired it for their own collection of historic time pieces. Jack knew it took time to make great whiskey so let’s celebrate his taste in fine watches and smooth sippin’ Tennessee Whiskey with Gentleman Jack!"
46,230,Jack Daniel’s Tennessee Whiskey Birthday Edition,United States,Jack Daniels,"American Whiskey, Bourbon, Whiskey",,54%,,,5.0,1,$0.00,,
47,231,Jack Daniels Black with Rockets Glasses,United States,Jack Daniels,"Bourbon, Whiskey",,40%,,,5.0,1,$24.00,,"Mellowed drop by drop through 10-feet of sugar maple charcoal, then matured in handcrafted barrels of our own making. And our Tennessee Whiskey doesn’t follow a calendar. It’s only ready when our tasters say it is. We judge it by the way it looks. By its aroma. And of course, by the way it tastes. It’s how Jack Daniel himself did it over a century ago. And how we still do it today."
48,232,Jack Daniels Single Barrel Bourbon 80 W/Gls,United States,Jack Daniels,"Bourbon, Whiskey",,,,,5.0,1,$47.67,,
49,233,Jack Daniels Single Barrel Bourbon,United States,Jack Daniels,"Bourbon, Whiskey",,,,,5.0,1,$66.49,,
50,234,Jack Daniel’s Gentleman Jack Tennessee Whiskey Gift Set,United States,Jack Daniels,"Bourbon, Whiskey",,,,,5.0,1,$44.99,,"Double Mellowed Tennessee Whiskey Jack Daniel's Gentleman Jack Rare Tennessee Whiskey is a super premium double-mellowed whiskey from the Jack Daniel Distillery. Incredibly smooth, Gentleman Jack has mellow aromas of sweet vanilla and brown sugar, with flavours of vanilla, maple syrup and citrus, and a silky, warm finish. Just like Jack Daniel's Tennessee Whiskey, Gentleman Jack is made using the finest ingredients and is charcoal mellowed through 10 feet of sugar maple charcoal before going into the barrel. Gentleman Jack, however, receives an additional ‘blessing' when it is charcoal mellowed again after reaching maturity, giving it ultimate smoothness. It is the world's only double mellowed whiskey. Best drunk on the rocks or in a ‘Gentleman's Brew', the perfect drink to get your night started: combine Gentleman Jack with two dashes of Angostura Bitters in a tall glass or tankard and stir. Top with ginger beer then add cubed ice, and garnish with an orange slice.

Enjoy this Gentleman Jack Gift Set on offer in this gorgeous gift set including some delightful gifts such as...

1 x 70cl bottle of Jack Daniels Gentleman Jack Tennesse Whiskey: Well worth the extra, Gentleman Jack is charcoal-mellowed twice, before and after the ageing process, resulting in a cleaner, more refined end product. Packaged in a smart monogram-esque bottle.
2 x Gentleman Jack Whiskey Glasses"
51,236,Johnnie Walker Black Label Blended Scotch Whisky,Scotland,Johnnie Walker,"Scotch Whisky, Whiskey",,40%,,,4.8,425,$31.99,750ml,"Indulge all of your senses with a smooth glass of Johnnie Walker Black Label Blended Scotch Whisky. Created using only Scotch whiskies aged for a minimum of 12 years from the four corners of Scotland, Johnnie Walker Black Label has an unmistakably smooth, deep, complex character. This spirit is an impressive blended Scotch whisky to share on any occasion. Simply mix with soda water, pour over ice and garnish with a lime wedge for a Highball cocktail. Johnnie Walker was recognized as one of the world's top-trending Scotch whiskies at the 2020 Drinks International awards.  Please drink responsibly."
52,237,Johnnie Walker Red Label Blended Scotch Whisky,Scotland,Johnnie Walker,"Scotch Whisky, Whiskey",,40%,,,4.8,177,$39.99,,"Indulge all of your senses with a smooth glass of Johnnie Walker Red Label Blended Scotch Whisky. Highly versatile and with universal appeal, it has a bold, distinctive flavor that shines through even when mixed. Johnnie Walker Red Label is now one of the best-selling Scotch whiskies around the globe. Perfect for parties and get-togethers, at home, or going out, we recommend enjoying with friends. Simply mix with squeezed lime and ginger ale and pour over ice for a Johnnie & Ginger. Johnnie Walker was recognized as one of the world's top-trending Scotch whiskies at the 2020 Drinks International awards.  The Johnnie Walker brand's extraordinary knowledge of Scotland’s malts and its deep desire to create well-balanced blends of island malt whiskies led to the whisky brand we have today. Each batch is then carefully matured to perfection in quality oak casks. As one of the biggest whisky brands in the world, Johnnie Walker embraces a rallying cry for optimism through adversity as it challenges the world to keep walking. Please drink responsibly."
53,238,Johnnie Walker Blue Label Blended Scotch Whisky,Scotland,Johnnie Walker,"Scotch Whisky, Whiskey",,40%,,,4.7,149,$169.00,750ml,"Indulge all of your senses with a smooth glass of Johnnie Walker Blue Label Blended Scotch Whisky. An exquisite blend made from some of Scotland’s rarest and most exceptional Scotch whiskies, our whisky offers incomparably rich and smoky waves of powerful flavor. Only one in every ten thousand casks has the elusive quality, character and flavor to deliver the remarkable signature taste of Johnnie Walker Blue Label. Truly, it is an extraordinary Scotch Whisky for extraordinary occasions. Simply pour over ice in a whisky tumbler for an elegantly simple drink. Johnnie Walker was recognized as one of the world's top-trending Scotch whiskies at the 2020 Drinks International awards.  Please drink responsibly."
54,239,Johnnie Walker White Walker Blended Scotch Whisky,Scotland,Johnnie Walker,"Scotch Whisky, Whiskey",,41.7%,,,4.8,39,$39.99,,"Strongly influenced by the cold white mist that covers the Far North of Westeros, our limited edition Johnnie Walker Blended Scotch Whisky features a frosted bottle sleeve that reveals hidden designs when exposed to the cold (not all bottles come with boxes). Chill-filtered for an extraordinarily smooth and approachable flavor, Johnnie Walker White Walker Blended Scotch Whisky offers incomparably rich seasonal flavors of vanilla, red fruits and orchard fruits that are perfect for sharing at the next premier, finale or any occasion. Simply add with coconut soda, garnish with a lemon wheel and mint sprig and pour into an ice-filled highball glass for a refreshing tasting Army of the Dead cocktail. 

Our 41.7% ABV is a nod to the seven kingdoms and their one true throne and includes one 750 mL bottle of the limited edition White Walker Blended Scotch Whisky.

The Johnnie Walker brand's extraordinary knowledge of Scotland’s malts and its deep desire to create well-balanced blends of malt whiskies led to the whisky brand we have today. Each batch is carefully matured to perfection in quality oak casks. As one of the biggest whisky brands in the world, Johnnie Walker embraces a rallying cry for optimism through adversity as it challenges the world (and Westeros) to keep walking. Please drink responsibly.

•One 750 mL limited edition bottle of Johnnie Walker White Walker Blended Scotch Whisky 

•Rich seasonal flavors of vanilla, red fruits and orchard fruits

•41.7% ABV as a nod to the 7 kingdoms and their 1 true throne

•Chill-filtered for an extraordinary smooth and approachable flavor

•Perfect addition to your Game of Thrones or whisky collection

•Frosted bottle sleeve reveals hidden designs when exposed to the cold

•Simply add with coconut soda, garnish with a lemon wheel and mint sprig and pour into an ice-filled highball glass for a refreshing tasting Army of the Dead cocktail."
55,240,Johnnie Walker Double Black Label Blended Scotch Whisky,Scotland,Johnnie Walker,"Scotch Whisky, Whiskey",,40%,,,4.8,30,$56.99,,"Indulge all of your senses with a smooth glass of Johnnie Walker Double Black Label Blended Scotch Whisky. Strongly influenced by powerful and peaty West Coast and Islay Single Malts, the intensity is immediately apparent with the taste of smoke and smoldering spices. An impressive blended Scotch to share, whatever the occasion. Simply mix with soda water, pour over ice and garnish with a lime wedge for a Highball cocktail. Johnnie Walker was recognized as one of the world's top-trending Scotch whiskies at the 2020 Drinks International awards.  The Johnnie Walker brand's extraordinary knowledge of Scotland’s malts and its deep desire to create well-balanced blends of island malt whiskies led to the whisky brand we have today. Each batch is then carefully matured to perfection in quality oak casks. As one of the biggest whisky brands in the world, Johnnie Walker embraces a rallying cry for optimism through adversity as it challenges the world to keep walking. Please drink responsibly."
56,241,Johnnie Walker Green Label Blended Malt Scotch Whisky,Scotland,Johnnie Walker,"Scotch Whisky, Whiskey",,43%,,,4.7,22,$77.95,,"Indulge all of your senses with a smooth glass of Johnnie Walker Green Label Blended Malt Scotch Whisky. Crafted from a palette of Speyside, Highland, Lowland and Island malts and matured for at least 15 years, it delivers all the character of a single malt whisky, but with a greater depth of flavor. This award-winning spirit is a truly unique blend to savor while you sit back and unwind. Simply pour over ice in a whisky tumbler for an elegantly simple drink. Johnnie Walker was recognized as one of the world's top-trending Scotch whiskies at the 2020 Drinks International awards. Please drink responsibly."
57,242,Johnnie Walker Gold Label Reserve Blended Scotch Whisky,Scotland,Johnnie Walker,"Scotch Whisky, Whiskey",,40%,,,4.3,15,$98.22,,"Indulge all of your senses with a smooth glass of Johnnie Walker Gold Label Reserve Blended Scotch Whisky. Luxurious, creamy and honeyed, it is a wonderful tribute to the harmonious partnership of Speyside and Highland Whiskies, with just a hint of smoldering embers from the West Coast. Johnnie Walker Gold Label Reserve is made for those unforgettable nights out with amazing friends. Simply mix with soda water, pour over ice and garnish with an orange slice for an elegantly simple drink. Johnnie Walker was recognized as one of the world's top-trending Scotch whiskies at the 2020 Drinks International awards.  The Johnnie Walker brand's extraordinary knowledge of Scotland’s malts and its deep desire to create well-balanced blends of island malt whiskies led to the whisky brand we have today. Each batch is then carefully matured to perfection in quality oak casks. As one of the biggest whisky brands in the world, Johnnie Walker embraces a rallying cry for optimism through adversity as it challenges the world to keep walking. Please drink responsibly."
58,243,Johnnie Walker A Song of Fire Blended Scotch Whisky,Scotland,Johnnie Walker,"Scotch Whisky, Whiskey",,40.8%,,,5.0,11,$39.99,,"In celebration of the final season of Game of Thrones and inspired by House Targaryen and her fire-breathing dragons, we're proud to release this limited edition Johnnie Walker A Song of Fire Blended Scotch Whisky. Inspired by Daenerys Targaryen's beasts of the sky, this blend features peated malt from Caol Ila for a subtle smoke. Tempered by a rich, round sweetness, the full-bodied flavor delivers subtle red fruit, a hint of spice and sweet smoke. This blend is best enjoyed neat for a warm, smooth finish.  The Game of Thrones epic has been a tale of two halves from the very beginning. When all is said and done, the inevitable meeting of two primal elements will simply be known as A Song of Ice and Fire. Join us in celebrating the end of the final season of Game of Thrones with our limited release Johnnie Walker offerings, inspired by ice and fire. Please drink responsibly."
59,244,Johnnie Walker Aged 18 Years Blended Scotch Whisky,Scotland,Johnnie Walker,"Scotch Whisky, Whiskey",,40%,,18.0,5.0,10,$89.99,,"Indulge all of your senses with a smooth glass of Johnnie Walker Aged 18 Years Blended Scotch Whisky, a blend of up to 18 different Scotch whiskies each chosen for their remarkable depth of flavor and character. Our award-winning whisky blends big, classic Johnnie Walker flavors with intriguing contemporary notes of citrus and fragrant almonds. Smooth, creamy vanilla and warming malt pairs beautifully with tropical tangerine on the palate. The long finish brings elegant suggestions of dark chocolate, citrus zest and a light, aromatic smoke. Hand-crafted by our Master Blender, this ultimate combination of 18-year-old whiskies draws from the elegantly sweet character of Speyside malts, the complex fruitiness of Highland malts and smokiness of Island malts. Simply sip it neat, over ice or with a dash of water for an elegantly simple drink. Johnnie Walker was recognized as one of the world's top-trending Scotch whiskies at the 2020 Drinks International awards.  Please drink responsibly."
